Delta,Latency,Num_of_topics
0.1,0.27634429931640625,13
0.1,0.2593674659729004,13
0.1,0.18330931663513184,13
0.1,0.27779221534729004,13
0.1,0.3362417221069336,13
0.1,0.2992236614227295,13
0.1,0.2795677185058594,13
0.1,0.17637968063354492,13
0.1,0.27756190299987793,13
0.1,0.3373579978942871,13
0.1,0.3056190013885498,13
0.1,0.28293609619140625,13
0.1,0.17726516723632812,13
0.1,0.27682924270629883,13
0.1,0.33951807022094727,13
0.1,0.30005335807800293,13
0.1,0.28005504608154297,13
0.099,0.1788921356201172,13
0.101,0.27619194984436035,13
0.1,0.3390944004058838,13
0.1,0.2979576587677002,13
0.099,0.27893948554992676,13
0.101,0.1774439811706543,13
0.1,0.2761836051940918,13
0.1,0.3359355926513672,13
0.1,0.3002657890319824,13
0.099,0.27991700172424316,13
0.101,0.2355213165283203,13
0.1,0.3015563488006592,13
0.1,0.36074233055114746,13
0.101,0.28711438179016113,13
0.099,0.2648274898529053,13
0.1,0.19420123100280762,13
0.1,0.2731969356536865,13
0.101,0.331143856048584,13
0.099,0.2932126522064209,13
0.099,0.27382349967956543,13
0.101,0.20832467079162598,13
0.1,0.2722446918487549,13
0.1,0.32480311393737793,13
0.1,0.2965703010559082,13
0.1,0.27989673614501953,13
0.1,0.2025008201599121,13
0.1,0.27588748931884766,13
0.1,0.3282911777496338,13
0.1,0.2935314178466797,13
0.1,0.2717247009277344,13
0.1,0.1809558868408203,13
0.1,0.2804908752441406,13
0.1,0.37964606285095215,13
0.1,0.29956674575805664,13
0.099,0.2820301055908203,13
0.1,0.23478364944458008,13
0.101,0.30166006088256836,13
0.1,0.32616567611694336,13
0.1,0.2865114212036133,13
0.099,0.2662656307220459,13
0.101,0.21852707862854004,13
0.1,0.28601956367492676,13
0.1,0.3341386318206787,13
0.1,0.299487829208374,13
0.1,0.286806583404541,13
0.1,0.186417818069458,13
0.1,0.29335522651672363,13
0.1,0.3383970260620117,13
0.1,0.3786125183105469,13
0.099,0.2795422077178955,13
0.101,0.18108820915222168,13
0.1,0.27762818336486816,13
0.101,0.341036319732666,13
0.099,0.3146195411682129,13
0.099,0.27870869636535645,13
0.1,0.1831042766571045,13
0.101,0.2756619453430176,13
0.1,0.3376016616821289,13
0.1,0.3076810836791992,13
0.099,0.3023195266723633,13
0.101,0.18518424034118652,13
0.1,0.29276514053344727,13
0.1,0.33948421478271484,13
0.1,0.3059399127960205,13
0.1,0.28380393981933594,13
0.1,0.20700883865356445,13
0.1,0.3082089424133301,13
0.1,0.3689100742340088,13
0.1,0.28653407096862793,13
0.099,0.26646947860717773,13
0.101,0.2296128273010254,13
0.1,0.25788235664367676,13
0.1,0.3245663642883301,13
0.1,0.2873718738555908,13
0.1,0.2686026096343994,13
0.101,0.1830148696899414,13
0.099,0.2932295799255371,13
0.1,0.3441426753997803,13
0.1,0.31058621406555176,13
0.099,0.2848997116088867,13
0.101,0.23678255081176758,13
0.1,0.2620370388031006,13
0.1,0.32625794410705566,13
0.1,0.29449009895324707,13
0.1,0.2747073173522949,13
0.1,0.18664288520812988,13
0.101,0.2855112552642822,13
0.099,0.34528040885925293,13
0.1,0.30481410026550293,13
0.099,0.28237485885620117,13
0.101,0.23560190200805664,13
0.1,0.3029134273529053,13
0.1,0.3303792476654053,13
0.099,0.2966294288635254,13
0.101,0.27378010749816895,13
0.1,0.23609471321105957,13
0.1,0.2736804485321045,13
0.1,0.3347184658050537,13
0.1,0.29422783851623535,13
0.099,0.27518296241760254,13
0.1,0.17817187309265137,13
